time,callsign,x,vx,y,vy,z,vz
94.0,TARGET_001,20701.063931926255,218.83610509768394,7491.190957021904,78.45083128828686,8255.10566250725,3.02019714337497
95.0,TARGET_001,20919.73498846269,218.69687365360934,7569.622367310034,78.44881485312517,8258.056819718404,2.9425497308351924
96.0,TARGET_001,21138.481529595658,218.63557360050442,7647.884885555142,78.25683278160781,8260.963193387814,2.859360878731842
97.0,TARGET_001,21356.951230276103,218.5382419323699,7726.312827466729,78.54642989588905,8263.835557811164,2.8901734159269217
98.0,TARGET_001,21575.556690966427,218.59921674752633,7804.866869325739,78.47865243277838,8266.784687337458,3.0361549777520977
99.0,TARGET_001,21794.20411048647,218.5909703583464,7883.366574522793,78.53870387039548,8269.770254557496,3.0327005594149976
100.0,TARGET_001,22012.670226876493,218.36731997570516,7962.017978809892,78.80949453167972,8272.79999575409,3.0356961422138635
101.0,TARGET_001,22231.07225709695,218.44542078272633,8041.007502061926,79.00211329895284,8275.856630326585,3.0765492200837743
102.0,TARGET_001,22449.617344717797,218.504056645487,8120.0082447542545,78.8936435605929,8278.915575520952,3.159090602648235
103.0,TARGET_001,22668.08915094883,218.2675864852716,8198.814386120626,78.69309380467419,8282.140889072085,3.3234425019729086
104.0,TARGET_001,22886.3831579269,218.31272277517962,8277.546333894696,78.73476820801078,8285.43085159451,3.3383581171482946
105.0,TARGET_001,23104.969544381787,218.5921063734094,8356.270835109355,78.67720782783584,8288.669970670158,3.159195274634737
106.0,TARGET_001,23323.700074274228,218.69323888796256,8434.914603007503,78.68181099352299,8291.806766844054,3.0063529759608842
107.0,TARGET_001,23542.417665672794,218.6917214155924,8513.66906577612,78.75961168537494,8294.635163062134,2.7136974608334077
108.0,TARGET_001,23761.11498901005,218.7618071481554,8592.481739293558,78.90292865010736,8297.350009783488,2.674549793488113
109.0,TARGET_001,23979.869898911704,218.7840474676656,8671.608743066874,79.3071119088052,8299.988659441737,2.5757164008077384
