time,global_track_id,x,y,vx,vy,prob
2579.96,GT-3869,260387.10204361807,-328522.0842366189,157.16109937694046,-147.91634268105756,0.983
2600.95,GT-3869,263738.1947094003,-331595.5253174671,158.56399246537595,-148.06036969981375,0.943
2624.77,GT-3869,267530.1016249504,-335107.0733587647,159.27174593537788,-147.24548143431588,0.884
2624.77,GT-3998,267514.120774886,-335292.3180770201,157.3366618465071,-148.23425163237135,0.986
2644.8,GT-3869,270696.29272472474,-338076.2864273211,157.0956450955287,-150.79450444309012,0.922
2644.8,GT-3998,270682.79964912415,-338280.5939039266,158.44679560081937,-149.58244878938842,0.922
2669.35,GT-3998,274611.03971691924,-341926.5845493674,158.6543049923214,-147.20307165847447,0.938
2690.04,GT-3998,277922.7421551344,-345007.7767426575,158.79562979350314,-149.93321321979764,0.929
2742.65,GT-4151,286189.8999840145,-353018.7081117947,158.46347955460294,-149.4460424405226,0.94
2766.95,GT-4151,290022.37508897594,-356636.7630623289,158.90907986655526,-147.38888038844354,0.932
2799.04,GT-4151,295128.1141526075,-361446.50060886977,157.84879214417256,-149.57192628826863,0.994
2824.11,GT-4151,299123.20085646503,-365162.43239637534,158.9725950117622,-147.870565666897,0.934
2848.99,GT-4322,302995.71181045426,-369018.204386172,156.64736021602394,-149.82490965277088,0.866
2869.79,GT-4322,306262.384005961,-372135.70536945335,158.06545298506222,-148.38583481304343,0.941
2891.23,GT-4322,309663.8751196809,-375389.175580178,156.7074103554037,-149.60882533867766,0.934
2913.43,GT-4322,313147.69342489797,-378683.72705928975,156.88534795623718,-148.0501204965715,0.944
2998.64,GT-4442,326393.073426798,-391212.047616178,159.9862510181003,-140.36337099109454,0.952
3094.96,GT-4575,341677.88972755027,-404569.048764384,160.57573338485318,-144.22910202344812,0.87
3118.84,GT-4575,345470.2339056408,-407941.74307216925,159.84361154032075,-143.07512714839385,0.951
