event_type,time,label,sensor,local_track_id,source_map_track_id,source_d2_xy,source_gate_xy,source_d2_z,source_gate_z,source_xy_rejected,source_z_rejected,accepted_stage,assigned_global_track_id,created,revived
measurement,325.44,HEDEF_5,RADAR_A,RADAR_A-T4302,GT-0004,5.935796534483142,22.42005684091686,0.3302369173427155,16.265600372879273,False,False,source_map,GT-0004,False,False
measurement,325.85,HEDEF_4,RADAR_A,RADAR_A-T9079,GT-0017,19.346941399118588,16.014326314940615,0.14581078395396618,11.618285980628052,True,False,create,GT-0075,True,False
measurement,325.94,HEDEF_1,RADAR_A,RADAR_A-T7808,GT-0052,0.8924049048795306,16.014326314940615,2.329357680144302,11.618285980628052,False,False,source_map,GT-0052,False,False
measurement,327.04,STATIC_CLUTTER_terrain,RADAR_A,RADAR_A-SC49344,,,,,,False,False,create,GT-0076,True,False
track_deleted,327.77,STATIC_CLUTTER_terrain,,,,,,,,,,,GT-0076,,
measurement,327.77,HEDEF_3,RADAR_A,RADAR_A-T5584,,,,,,False,False,hungarian,GT-0031,False,False
measurement,327.77,HEDEF_5,RADAR_A,RADAR_A-T4302,GT-0004,1.0647917030785121,22.42005684091686,0.9066247219507668,16.265600372879273,False,False,source_map,GT-0004,False,False
measurement,327.97,HEDEF_2,RADAR_A,RADAR_A-T2645,GT-0061,0.9430639338686995,16.014326314940615,2.8516929679196608,11.618285980628052,False,False,source_map,GT-0061,False,False
measurement,328.54,HEDEF_4,RADAR_A,RADAR_A-T9079,GT-0017,7.0822638420888,16.014326314940615,0.02686992008592651,11.618285980628052,False,False,source_map,GT-0017,False,False
measurement,328.71,HEDEF_1,RADAR_A,RADAR_A-T7808,GT-0052,1.2257210770013607,16.014326314940615,0.5086319544879035,11.618285980628052,False,False,source_map,GT-0052,False,False
measurement,328.77,HEDEF_4,RADAR_B,RADAR_B-T5960,GT-0017,1.5522607519101994,22.42005684091686,5.008082737631958,16.265600372879273,False,False,source_map,GT-0017,False,False
measurement,328.85,HEDEF_4,RADAR_C,RADAR_C-T3116,GT-0017,12.953678286370195,22.42005684091686,0.38814688025160426,16.265600372879273,False,False,source_map,GT-0017,False,False
measurement,328.85,HEDEF_5,RADAR_C,RADAR_C-T7087,GT-0004,5.149072657231072,22.42005684091686,0.14132071604539273,16.265600372879273,False,False,source_map,GT-0004,False,False
measurement,329.05,HEDEF_2,RADAR_B,RADAR_B-T6602,GT-0061,11.731307001822945,16.014326314940615,0.008667251209457535,11.618285980628052,False,False,source_map,GT-0061,False,False
measurement,329.05,HEDEF_5,RADAR_B,RADAR_B-T7049,GT-0004,5.515726653351683,22.42005684091686,0.13749236121565803,16.265600372879273,False,False,source_map,GT-0004,False,False
measurement,330.22,HEDEF_1,RADAR_B,RADAR_B-T9554,GT-0052,3.8357924334250164,16.014326314940615,0.07709193536474633,11.618285980628052,False,False,source_map,GT-0052,False,False
measurement,331.01,HEDEF_1,RADAR_A,RADAR_A-T7808,GT-0052,6.402324846627657,22.42005684091686,0.04326533604037068,16.265600372879273,False,False,source_map,GT-0052,False,False
measurement,331.01,HEDEF_5,RADAR_A,RADAR_A-T4302,GT-0004,0.4847186244916052,22.42005684091686,6.4770609658637,16.265600372879273,False,False,source_map,GT-0004,False,False
measurement,331.09,HEDEF_2,RADAR_A,RADAR_A-T2645,GT-0061,8.036172405614918,22.42005684091686,2.90070910991881,16.265600372879273,False,False,source_map,GT-0061,False,False
measurement,331.13,HEDEF_4,RADAR_A,RADAR_A-T9079,GT-0017,3.7417783377241842,16.014326314940615,0.043096256699635495,11.618285980628052,False,False,source_map,GT-0017,False,False
measurement,333.24,HEDEF_1,RADAR_A,RADAR_A-T7808,GT-0052,0.47674398891358577,16.014326314940615,4.4182314677972,11.618285980628052,False,False,source_map,GT-0052,False,False
