time,global_track_id,x,y,vx,vy,pos_sigma_m,fused_tq,prob,n_linked_sources
64.58,GT-0148,5713.016835814516,12094.321526848167,50.79047655947179,86.53746168640758,160.41747700813661,9,0.977,3
65.46,GT-0004,6726.8211979024945,9831.704680621657,97.57123041837725,-1.6020361492093684,45.51158314112743,14,0.97,4
65.46,GT-0148,5757.712455186851,12170.474493132206,50.79047655947179,86.53746168640758,160.4355087829202,9,0.947,3
65.8,GT-0004,6759.995416244743,9831.159988330926,97.57123041837725,-1.6020361492093684,45.75683642849834,13,0.941,4
65.8,GT-0076,6273.752819342402,10108.9761000708,96.8660050944586,-0.5256968541811258,69.38843029529298,12,0.943,2
65.8,GT-0148,5774.981217217071,12199.897230105584,50.79047655947179,86.53746168640758,160.4526219518679,9,0.919,3
65.89,GT-0004,6768.776826982397,9831.015805077497,97.57123041837725,-1.6020361492093684,45.82436642121062,13,0.913,4
65.89,GT-0076,6282.470759800904,10108.928787353923,96.8660050944586,-0.5256968541811258,69.38851883568422,12,0.915,2
65.89,GT-0148,5779.51438442548,12207.61542450891,50.7900909810861,86.53793010715908,160.53613534291904,9,0.953,4
66.69,GT-0004,6846.8338113170985,9829.73417615813,97.57123041837725,-1.6020361492093684,46.474819111752275,13,0.886,4
66.69,GT-0076,6359.96356387647,10108.508229870578,96.8660050944586,-0.5256968541811258,69.39784608430784,12,0.888,2
66.69,GT-0148,5886.144869725386,12498.804259590925,51.08451541396436,88.1299864084093,69.4007175102136,12,0.989,4
67.49,GT-0004,6920.837132278048,9825.33475873329,97.08584509945135,-1.8078150632997563,47.154773489669665,13,0.979,4
67.49,GT-0076,6437.456367952037,10108.087672387233,96.8660050944586,-0.5256968541811258,69.42771371889198,12,0.861,2
67.49,GT-0148,5927.012482056558,12569.308248717653,51.08451541396436,88.1299864084093,69.40812133271535,12,0.959,4
68.07,GT-0004,6977.14692243573,9824.286225996577,97.08584509945135,-1.8078150632997563,47.66368018763268,13,0.95,4
68.07,GT-0148,5956.538782685808,12620.510262697057,51.08359877258493,88.1279366709029,69.448871432954,12,0.985,4
68.11,GT-0004,6981.030356239708,9824.213913394045,97.08584509945135,-1.8078150632997563,47.700557532490436,13,0.921,4
68.11,GT-0148,5958.582126636711,12624.035380163894,51.08359877258493,88.1279366709029,69.4505150538001,12,0.956,4
68.37,GT-0004,7006.272675965566,9823.743881477587,97.08584509945135,-1.8078150632997563,47.946004736469774,13,0.894,4
68.37,GT-0148,5971.863862317584,12646.94864369833,51.08359877258493,88.1279366709029,69.46278780966247,12,0.927,4
68.61,GT-0004,7029.573278789434,9823.310005862395,97.08584509945135,-1.8078150632997563,48.18153893892608,13,0.867,4
68.61,GT-0148,5939.699565446284,12576.16468570065,56.29983837966756,86.35522410820283,52.4716859682955,13,0.988,4
69.87,GT-0004,7148.321624197988,9828.05291957926,97.39779118322704,-1.6815896944972621,47.645841244090484,13,0.982,4
